date,long,lat,magnitude,depth
15/10/2018,174.4207634,-41.45033708,2.4,25
15/10/2018,175.6905254,-39.03232073,0.7,5
15/10/2018,172.6987152,-41.23260117,2.9,141
15/10/2018,174.2582809,-40.71817968,1.9,62
15/10/2018,176.7504058,-38.48762413,1.6,58
14/10/2018,175.6919022,-39.03319641,1,5
14/10/2018,175.6802455,-39.07952467,0.6,7
14/10/2018,175.7200974,-38.76771112,2.5,148
14/10/2018,171.056352,-43.0885804,2,8
14/10/2018,176.0082397,-37.85089493,3.2,260
14/10/2018,175.7568438,-39.14563306,2.5,179
14/10/2018,175.6912111,-39.03880239,0.5,5
14/10/2018,177.161628,-37.5563132,2.3,5
14/10/2018,173.4946733,-42.43268291,2.1,12
14/10/2018,176.1926665,-36.85182272,3,37
14/10/2018,177.1356049,-37.52907562,2.3,4
14/10/2018,178.8815308,-37.17004013,3.1,9
14/10/2018,178.3044841,-38.30554536,1.6,18
14/10/2018,175.7079447,-38.67397084,3,145
14/10/2018,174.4336841,-40.1762513,3.2,64
14/10/2018,175.9632536,-38.51509274,2.1,126
14/10/2018,174.4448733,-41.66623582,2.5,21
14/10/2018,175.657963,-39.12750931,1.1,5
14/10/2018,175.9415545,-39.00664127,1.6,9
14/10/2018,174.4710465,-41.69869855,3.5,27
14/10/2018,173.6788629,-42.21776177,2.2,19
14/10/2018,177.376682,-38.88841123,2.2,44
14/10/2018,172.8838901,-42.31311667,2.1,42
14/10/2018,174.3411181,-41.69988849,1.8,20
14/10/2018,176.6000383,-39.78046638,1.7,21
14/10/2018,176.1040399,-39.71047967,1.8,30
14/10/2018,175.7835263,-38.78132524,2.5,134
14/10/2018,174.1045655,-41.62954421,2,23
14/10/2018,176.1916809,-38.27520752,2.2,94
14/10/2018,173.1821087,-42.47034109,2.5,55
14/10/2018,176.4301726,-40.194513,2.7,16
14/10/2018,173.1744519,-42.5535733,2.6,20
14/10/2018,175.4433805,-40.68511899,1.4,24
14/10/2018,176.24139,-39.6896283,2.4,21
14/10/2018,177.816445,-38.90768154,1.7,10
14/10/2018,176.9282815,-39.71372246,2.6,30
14/10/2018,175.8516477,-38.6583735,2.8,135
14/10/2018,176.9832458,-37.68028641,2.1,3
14/10/2018,176.5742668,-39.98551348,1.7,40
14/10/2018,175.7274879,-39.4089969,0.9,13
14/10/2018,177.7478483,-37.72699248,2.3,59
14/10/2018,176.7219691,-40.06661724,2.3,20
14/10/2018,176.3176389,-39.33940386,1.9,66
14/10/2018,173.9087937,-40.45414274,2.6,111
14/10/2018,177.1435563,-37.81819664,2.3,55
14/10/2018,172.3311708,-41.77941164,3.1,89
14/10/2018,174.3507125,-41.69766788,2.6,9
14/10/2018,175.3618119,-40.93864234,1.7,20
14/10/2018,175.0234956,-40.05554522,2.2,30
14/10/2018,172.7077889,-43.59263527,1.8,8
14/10/2018,172.7144741,-42.67713402,2,12
14/10/2018,174.3649655,-41.68474088,2,10
14/10/2018,177.2029789,-38.15329301,2.7,75
13/10/2018,174.861761,-40.18077065,2.1,25
13/10/2018,176.4527225,-37.41672242,2.5,154
13/10/2018,174.3670625,-41.60723196,1.8,20
13/10/2018,175.3090479,-39.29707007,1.4,25
13/10/2018,174.1616862,-41.72214764,1.7,10
13/10/2018,177.7548191,-38.36773639,1.4,19
13/10/2018,173.6589461,-42.30395479,2.3,22
13/10/2018,175.0999271,-39.32322856,1.7,26
13/10/2018,176.5455611,-39.97298312,1.7,25
13/10/2018,175.7530343,-39.41977591,0.5,11
13/10/2018,176.5680809,-39.98699389,2.1,36
13/10/2018,177.3072961,-38.28314396,1.6,40
13/10/2018,176.342796,-40.3243975,1.6,25
13/10/2018,175.7151862,-39.43613299,1.1,14
13/10/2018,177.2471484,-38.06468106,2.1,43
13/10/2018,175.4111266,-40.77002993,1.7,24
13/10/2018,176.3426361,-40.32177353,3.1,22
13/10/2018,174.884005,-40.19478141,2.2,25
